Tên,Giá,RAM,SSD,Rating,Đã bán
Lenovo V15 G5 IRL Core 5 120U (83HF0000VN),17.590.000₫,RAM 16 GB,SSD 512 GB,5,33
MSI Gaming Katana A15 AI B8VF R7 8845HS (419VN),28.690.000₫,RAM 16 GB,SSD 512 GB,5,34
Asus TUF Gaming A15 FA506NF R5 7535HS (HN012W),17.690.000₫,RAM 16 GB,SSD 512 GB,4.9,"3,2k"
Asus Vivobook S 15 S5507QA X1E 78 100 (MA090WS),28.990.000₫,RAM 32 GB,SSD 1 TB,5,15
HP Probook 450 G10 i7 1355U (873D3PA),22.190.000₫,RAM 16 GB,SSD 512 GB,5,298
Dell Inspiron 15 3530 i5 1334U (P16WD2),18.490.000₫,RAM 16 GB,SSD 512 GB,5,228
Asus Vivobook 15 X1504VA i7 1355U (NJ023W),20.490.000₫,RAM 16 GB,SSD 512 GB,4.9,"1,7k"
Acer Gaming Nitro V ANV15 51 58AN i5 13420H (NH.QNASV.001),17.690.000₫,RAM 8 GB,SSD 512 GB,5,255
Lenovo Yoga Slim 7 14IMH9 Ultra 7 155H (83CV001VVN),31.190.000₫,RAM 32 GB,SSD 1 TB,5,116
Acer Gaming Nitro V ANV15 51 57B2 i5 13420H (NH.QN8SV.001),24.690.000₫,RAM 8 GB,SSD 512 GB,5,227
Lenovo ThinkBook 16 G7 Ultra 5 125U (21MS007GVN),22.190.000₫,RAM 16 GB,SSD 512 GB,5,84
MSI Prestige 13 AI Evo A1MG Ultra 7 155H (062VN),33.690.000₫,RAM 32 GB,SSD 1 TB,5,64
MSI Gaming Katana A15 AI B8VG R7 8845HS (465VN),32.690.000₫,RAM 16 GB,SSD 1 TB,5,18
Lenovo Gaming Legion Pro 5 16IRX9 i9 14900HX (83DF0046VN),52.690.000₫,RAM 32 GB,SSD 1 TB,5,37
Dell Vostro 15 3520 i5 1235U (V3520-i5U165W11GRU),16.490.000₫,RAM 16 GB,SSD 512 GB,4.9,"1,1k"
Dell Vostro 15 3520 i5 1235U (i5U165W11GRU),16.490.000₫,RAM 16 GB,SSD 512 GB,5,"1,5k"
Acer Swift Go 14 AI SFG14 73 53X7 Ultra 5 125H (NX.KSLSV.001),23.290.000₫,RAM 16 GB,SSD 512 GB,5,98
Asus Vivobook S 14 OLED S5406MA Ultra 5 125H (PP136W),24.990.000₫,RAM 16 GB,SSD 1 TB,4.9,568
HP Envy X360 14 fa0048AU R7 8840HS (A19BQPA),28.790.000₫,RAM 16 GB,SSD 512 GB,5,79
Asus Vivobook 16 M1607KA R7 AI 350 (MB091WS),20.990.000₫,RAM 16 GB,SSD 512 GB,5,10
Lenovo ThinkBook 14 Ultra 7 155U (21MR0072VN),26.390.000₫,RAM 16 GB,SSD 512 GB,5,33
